index,language,metric,human,QWEN_25_7B,checkpoint-100_QWEN_25_7B
577,BCMS,Microaggression,1,1.0,1
577,BCMS,Violence,1,1.0,1
577,BCMS,SelfHarm,1,1.0,1
577,BCMS,Insult,2,2.0,1
577,BCMS,SexualContent,1,1.0,1
797,BCMS,Toxicity,3,5.0,3
797,BCMS,IdentityAttack,1,3.0,1
797,BCMS,Bias,2,3.0,1
797,BCMS,Microaggression,1,3.0,1
797,BCMS,Violence,1,3.0,1
797,BCMS,SelfHarm,1,1.0,1
797,BCMS,Insult,2,3.0,3
797,BCMS,SexualContent,1,1.0,1
1002,BCMS,Toxicity,2,3.0,3
1002,BCMS,IdentityAttack,2,3.0,3
1002,BCMS,Bias,3,3.0,3
1002,BCMS,Microaggression,2,3.0,1
1002,BCMS,Violence,1,1.0,1
1002,BCMS,SelfHarm,1,1.0,1
1002,BCMS,Insult,2,2.0,3
1002,BCMS,SexualContent,1,1.0,1
701,BCMS,Toxicity,1,3.0,3
701,BCMS,IdentityAttack,1,1.0,1
701,BCMS,Bias,1,1.0,1
701,BCMS,Microaggression,1,2.0,1
701,BCMS,Violence,1,1.0,1
701,BCMS,SelfHarm,1,1.0,1
701,BCMS,Insult,2,3.0,3
701,BCMS,SexualContent,1,1.0,1
27,BCMS,Toxicity,3,5.0,5
27,BCMS,IdentityAttack,3,3.0,1
27,BCMS,Bias,2,3.0,1
27,BCMS,Microaggression,1,3.0,1
27,BCMS,Violence,3,3.0,3
27,BCMS,SelfHarm,1,3.0,1
27,BCMS,Insult,3,3.0,3
27,BCMS,SexualContent,1,1.0,1
519,BCMS,Toxicity,3,4.0,3
519,BCMS,IdentityAttack,1,3.0,3
519,BCMS,Bias,2,3.0,3
519,BCMS,Microaggression,1,3.0,1
519,BCMS,Violence,3,3.0,1
519,BCMS,SelfHarm,1,1.0,1
519,BCMS,Insult,2,3.0,3
519,BCMS,SexualContent,1,1.0,1
1052,BCMS,Toxicity,2,2.0,1
1052,BCMS,IdentityAttack,1,2.0,1
1052,BCMS,Bias,1,1.0,1
1052,BCMS,Microaggression,1,2.0,1
1052,BCMS,Violence,1,1.0,1
1052,BCMS,SelfHarm,1,1.0,1
1052,BCMS,Insult,3,2.0,1
1052,BCMS,SexualContent,1,1.0,1
140,BCMS,Toxicity,2,3.0,3
140,BCMS,IdentityAttack,1,2.0,1
140,BCMS,Bias,1,2.0,1
140,BCMS,Microaggression,1,2.0,1
140,BCMS,Violence,1,1.0,1
140,BCMS,SelfHarm,1,1.0,1
140,BCMS,Insult,2,3.0,3
140,BCMS,SexualContent,1,1.0,1
474,BCMS,Toxicity,3,5.0,3
474,BCMS,IdentityAttack,1,3.0,1
474,BCMS,Bias,2,3.0,1
474,BCMS,Microaggression,1,3.0,1
474,BCMS,Violence,3,3.0,1
474,BCMS,SelfHarm,1,1.0,1
474,BCMS,Insult,3,3.0,3
474,BCMS,SexualContent,1,1.0,1
639,BCMS,Toxicity,3,,1
639,BCMS,IdentityAttack,2,,1
639,BCMS,Bias,2,,1
639,BCMS,Microaggression,1,,1
639,BCMS,Violence,1,,1
639,BCMS,SelfHarm,1,,1
639,BCMS,Insult,2,,1
639,BCMS,SexualContent,1,,1
167,BCMS,Toxicity,2,5.0,3
167,BCMS,IdentityAttack,1,3.0,1
167,BCMS,Bias,1,3.0,1
167,BCMS,Microaggression,1,3.0,1
167,BCMS,Violence,1,3.0,1
167,BCMS,SelfHarm,1,1.0,1
167,BCMS,Insult,2,3.0,3
167,BCMS,SexualContent,1,1.0,1
566,BCMS,Toxicity,3,3.0,3
566,BCMS,IdentityAttack,2,2.0,1
566,BCMS,Bias,1,2.0,1
566,BCMS,Microaggression,1,3.0,1
566,BCMS,Violence,1,1.0,1
566,BCMS,SelfHarm,1,1.0,1
566,BCMS,Insult,2,3.0,3
566,BCMS,SexualContent,1,2.0,1
458,BCMS,Toxicity,3,5.0,5
458,BCMS,IdentityAttack,1,1.0,1
458,BCMS,Bias,1,1.0,1
458,BCMS,Microaggression,1,1.0,1
458,BCMS,Violence,2,3.0,3
458,BCMS,SelfHarm,1,1.0,1
458,BCMS,Insult,1,1.0,1
458,BCMS,SexualContent,2,1.0,1
438,BCMS,Toxicity,3,3.0,5
438,BCMS,IdentityAttack,1,3.0,3
438,BCMS,Bias,1,3.0,3
438,BCMS,Microaggression,1,3.0,1
438,BCMS,Violence,1,3.0,3
438,BCMS,SelfHarm,1,1.0,1
438,BCMS,Insult,2,3.0,3
438,BCMS,SexualContent,3,1.0,1
723,BCMS,Toxicity,3,5.0,3
723,BCMS,IdentityAttack,3,3.0,1
723,BCMS,Bias,2,3.0,1
723,BCMS,Microaggression,1,3.0,1
723,BCMS,Violence,1,1.0,1
723,BCMS,SelfHarm,1,1.0,1
723,BCMS,Insult,3,3.0,3
723,BCMS,SexualContent,1,1.0,1
576,BCMS,Toxicity,3,3.0,3
576,BCMS,IdentityAttack,2,3.0,1
576,BCMS,Bias,2,3.0,1
576,BCMS,Microaggression,1,3.0,1
576,BCMS,Violence,1,1.0,1
576,BCMS,SelfHarm,1,1.0,1
576,BCMS,Insult,3,3.0,3
576,BCMS,SexualContent,1,1.0,1
927,BCMS,Toxicity,1,3.0,2
927,BCMS,IdentityAttack,1,2.0,1
927,BCMS,Bias,1,2.0,1
927,BCMS,Microaggression,1,1.0,1
927,BCMS,Violence,1,2.0,1
927,BCMS,SelfHarm,1,1.0,1
927,BCMS,Insult,1,2.0,2
927,BCMS,SexualContent,1,1.0,1
565,BCMS,Toxicity,3,5.0,3
565,BCMS,IdentityAttack,3,3.0,3
565,BCMS,Bias,2,3.0,3
565,BCMS,Microaggression,1,3.0,1
565,BCMS,Violence,1,3.0,1
565,BCMS,SelfHarm,1,1.0,1
565,BCMS,Insult,3,3.0,3
565,BCMS,SexualContent,1,1.0,1
800,BCMS,Toxicity,3,3.0,3
800,BCMS,IdentityAttack,3,3.0,3
800,BCMS,Bias,1,3.0,3
800,BCMS,Microaggression,1,2.0,1
800,BCMS,Violence,1,1.0,1
800,BCMS,SelfHarm,1,1.0,1
800,BCMS,Insult,3,2.0,3
800,BCMS,SexualContent,1,1.0,1
151,BCMS,Toxicity,3,3.0,3
151,BCMS,IdentityAttack,1,3.0,3
151,BCMS,Bias,1,3.0,3
151,BCMS,Microaggression,1,3.0,1
151,BCMS,Violence,1,1.0,1
151,BCMS,SelfHarm,1,1.0,1
151,BCMS,Insult,3,3.0,3
151,BCMS,SexualContent,1,1.0,1
789,BCMS,Toxicity,1,2.0,1
789,BCMS,IdentityAttack,1,1.0,1
789,BCMS,Bias,1,1.0,1
789,BCMS,Microaggression,1,1.0,1
789,BCMS,Violence,1,1.0,1
789,BCMS,SelfHarm,1,1.0,1
789,BCMS,Insult,2,1.0,1
789,BCMS,SexualContent,1,1.0,1
433,BCMS,Toxicity,3,3.0,3
433,BCMS,IdentityAttack,3,3.0,3
433,BCMS,Bias,3,3.0,3
433,BCMS,Microaggression,1,3.0,1
433,BCMS,Violence,1,1.0,1
433,BCMS,SelfHarm,1,1.0,1
433,BCMS,Insult,3,3.0,3
433,BCMS,SexualContent,1,1.0,1
30,BCMS,Toxicity,3,3.0,3
30,BCMS,IdentityAttack,1,3.0,1
30,BCMS,Bias,1,3.0,1
30,BCMS,Microaggression,1,3.0,1
30,BCMS,Violence,1,3.0,1
30,BCMS,SelfHarm,1,1.0,1
30,BCMS,Insult,1,3.0,3
30,BCMS,SexualContent,3,3.0,3
416,BCMS,Toxicity,2,3.0,3
416,BCMS,IdentityAttack,1,3.0,1
416,BCMS,Bias,1,3.0,1
416,BCMS,Microaggression,1,3.0,1
416,BCMS,Violence,1,3.0,1
416,BCMS,SelfHarm,1,1.0,1
416,BCMS,Insult,1,3.0,3
416,BCMS,SexualContent,1,1.0,1
824,BCMS,Toxicity,5,3.0,3
824,BCMS,IdentityAttack,2,3.0,1
824,BCMS,Bias,2,3.0,1
824,BCMS,Microaggression,1,3.0,1
824,BCMS,Violence,1,1.0,1
824,BCMS,SelfHarm,1,1.0,1
824,BCMS,Insult,3,3.0,3
824,BCMS,SexualContent,1,1.0,1
400,BCMS,Toxicity,1,,1
400,BCMS,IdentityAttack,1,,1
400,BCMS,Bias,1,,1
400,BCMS,Microaggression,1,,1
400,BCMS,Violence,1,,1
400,BCMS,SelfHarm,1,,1
400,BCMS,Insult,1,,1
400,BCMS,SexualContent,1,,1
618,BCMS,Toxicity,1,2.0,1
618,BCMS,IdentityAttack,1,2.0,1
618,BCMS,Bias,1,1.0,1
618,BCMS,Microaggression,1,1.0,1
618,BCMS,Violence,1,1.0,1
618,BCMS,SelfHarm,1,1.0,1
618,BCMS,Insult,1,1.0,1
618,BCMS,SexualContent,1,1.0,1
938,BCMS,Toxicity,5,3.0,3
938,BCMS,IdentityAttack,1,3.0,1
938,BCMS,Bias,1,3.0,1
938,BCMS,Microaggression,1,1.0,1
938,BCMS,Violence,3,3.0,1
938,BCMS,SelfHarm,1,1.0,1
938,BCMS,Insult,1,2.0,1
938,BCMS,SexualContent,1,1.0,1
828,BCMS,Toxicity,2,2.0,1
828,BCMS,IdentityAttack,1,2.0,1
828,BCMS,Bias,1,2.0,1
828,BCMS,Microaggression,1,2.0,1
828,BCMS,Violence,1,1.0,1
828,BCMS,SelfHarm,1,1.0,1
828,BCMS,Insult,2,1.0,1
828,BCMS,SexualContent,1,1.0,1
568,BCMS,Toxicity,3,3.0,3
568,BCMS,IdentityAttack,3,3.0,1
568,BCMS,Bias,1,3.0,1
568,BCMS,Microaggression,1,3.0,1
568,BCMS,Violence,1,1.0,1
568,BCMS,SelfHarm,1,1.0,1
568,BCMS,Insult,3,3.0,3
568,BCMS,SexualContent,1,2.0,1
222,BCMS,Toxicity,2,,3
222,BCMS,IdentityAttack,1,,1
222,BCMS,Bias,1,,1
222,BCMS,Microaggression,1,,1
222,BCMS,Violence,1,,1
222,BCMS,SelfHarm,1,,1
222,BCMS,Insult,2,,3
222,BCMS,SexualContent,1,,1
952,BCMS,Toxicity,2,2.0,3
952,BCMS,IdentityAttack,1,2.0,1
952,BCMS,Bias,2,2.0,1
952,BCMS,Microaggression,1,2.0,1
952,BCMS,Violence,1,1.0,1
952,BCMS,SelfHarm,1,1.0,1
952,BCMS,Insult,2,2.0,3
952,BCMS,SexualContent,2,1.0,1
614,BCMS,Toxicity,3,3.0,3
614,BCMS,IdentityAttack,2,2.0,1
614,BCMS,Bias,2,3.0,1
614,BCMS,Microaggression,1,3.0,1
614,BCMS,Violence,1,1.0,1
614,BCMS,SelfHarm,1,1.0,1
614,BCMS,Insult,3,3.0,3
614,BCMS,SexualContent,1,1.0,1
615,BCMS,Toxicity,5,5.0,3
615,BCMS,IdentityAttack,2,3.0,1
615,BCMS,Bias,3,3.0,1
615,BCMS,Microaggression,1,3.0,1
615,BCMS,Violence,3,3.0,1
615,BCMS,SelfHarm,1,1.0,1
615,BCMS,Insult,2,3.0,3
615,BCMS,SexualContent,1,1.0,1
406,BCMS,Toxicity,5,5.0,5
406,BCMS,IdentityAttack,3,3.0,3
406,BCMS,Bias,3,3.0,3
406,BCMS,Microaggression,1,1.0,1
406,BCMS,Violence,3,3.0,3
406,BCMS,SelfHarm,1,1.0,1
406,BCMS,Insult,1,3.0,3
406,BCMS,SexualContent,1,1.0,1
395,BCMS,Toxicity,4,5.0,3
395,BCMS,IdentityAttack,2,3.0,1
395,BCMS,Bias,1,3.0,1
395,BCMS,Microaggression,1,3.0,1
395,BCMS,Violence,3,3.0,3
395,BCMS,SelfHarm,1,1.0,1
395,BCMS,Insult,3,3.0,3
395,BCMS,SexualContent,1,1.0,1
430,BCMS,Toxicity,2,5.0,3
430,BCMS,IdentityAttack,1,3.0,1
430,BCMS,Bias,1,3.0,1
430,BCMS,Microaggression,1,3.0,1
430,BCMS,Violence,1,3.0,1
430,BCMS,SelfHarm,1,1.0,1
430,BCMS,Insult,2,3.0,1
430,BCMS,SexualContent,3,3.0,3
998,BCMS,Toxicity,5,5.0,3
998,BCMS,IdentityAttack,3,3.0,1
998,BCMS,Bias,2,3.0,1
998,BCMS,Microaggression,1,3.0,1
998,BCMS,Violence,1,3.0,1
998,BCMS,SelfHarm,1,1.0,1
998,BCMS,Insult,3,3.0,3
998,BCMS,SexualContent,1,1.0,1
538,BCMS,Toxicity,3,3.0,3
538,BCMS,IdentityAttack,2,3.0,3
538,BCMS,Bias,2,3.0,3
538,BCMS,Microaggression,1,3.0,1
538,BCMS,Violence,1,1.0,1
538,BCMS,SelfHarm,1,1.0,1
538,BCMS,Insult,3,3.0,3
538,BCMS,SexualContent,3,1.0,1
137,BCMS,Toxicity,3,5.0,3
137,BCMS,IdentityAttack,2,3.0,3
137,BCMS,Bias,1,3.0,3
137,BCMS,Microaggression,1,3.0,1
137,BCMS,Violence,1,3.0,1
137,BCMS,SelfHarm,1,1.0,1
137,BCMS,Insult,3,3.0,3
137,BCMS,SexualContent,1,1.0,1
561,BCMS,Toxicity,3,3.0,3
561,BCMS,IdentityAttack,3,2.0,1
561,BCMS,Bias,2,2.0,1
561,BCMS,Microaggression,1,3.0,1
561,BCMS,Violence,1,1.0,1
561,BCMS,SelfHarm,1,1.0,1
561,BCMS,Insult,3,3.0,3
561,BCMS,SexualContent,3,1.0,1
703,BCMS,Toxicity,3,3.0,1
703,BCMS,IdentityAttack,3,2.0,1
703,BCMS,Bias,1,2.0,1
703,BCMS,Microaggression,1,1.0,1
703,BCMS,Violence,1,1.0,1
703,BCMS,SelfHarm,1,1.0,1
703,BCMS,Insult,3,2.0,1
703,BCMS,SexualContent,1,1.0,1
715,BCMS,Toxicity,3,3.0,3
715,BCMS,IdentityAttack,2,3.0,3
715,BCMS,Bias,2,3.0,3
715,BCMS,Microaggression,1,3.0,1
715,BCMS,Violence,1,1.0,1
715,BCMS,SelfHarm,1,1.0,1
715,BCMS,Insult,3,1.0,3
715,BCMS,SexualContent,1,1.0,1
965,BCMS,Toxicity,2,3.0,3
965,BCMS,IdentityAttack,1,2.0,1
965,BCMS,Bias,2,2.0,1
965,BCMS,Microaggression,1,2.0,1
965,BCMS,Violence,1,3.0,1
965,BCMS,SelfHarm,1,1.0,1
965,BCMS,Insult,2,3.0,3
965,BCMS,SexualContent,1,1.0,1
501,BCMS,Toxicity,1,3.0,2
501,BCMS,IdentityAttack,1,1.0,1
501,BCMS,Bias,1,1.0,1
501,BCMS,Microaggression,1,2.0,1
501,BCMS,Violence,1,1.0,1
501,BCMS,SelfHarm,1,1.0,1
501,BCMS,Insult,3,3.0,2
501,BCMS,SexualContent,1,1.0,1
246,BG,Toxicity,2,5.0,3
246,BG,IdentityAttack,1,3.0,1
246,BG,Bias,1,3.0,1
246,BG,Microaggression,1,3.0,1
246,BG,Violence,1,3.0,1
246,BG,SelfHarm,1,1.0,1
246,BG,Insult,3,3.0,3
246,BG,SexualContent,2,1.0,1
66,BG,Toxicity,3,3.0,3
66,BG,IdentityAttack,1,3.0,1
66,BG,Bias,1,3.0,1
66,BG,Microaggression,1,3.0,1
66,BG,Violence,1,1.0,1
66,BG,SelfHarm,1,1.0,1
66,BG,Insult,2,3.0,3
66,BG,SexualContent,1,1.0,1
779,BG,Toxicity,1,2.0,1
779,BG,IdentityAttack,1,1.0,1
779,BG,Bias,1,1.0,1
779,BG,Microaggression,1,1.0,1
779,BG,Violence,1,1.0,1
779,BG,SelfHarm,1,1.0,1
779,BG,Insult,1,1.0,1
779,BG,SexualContent,1,1.0,1
820,BG,Toxicity,4,3.0,3
820,BG,IdentityAttack,1,3.0,1
820,BG,Bias,1,3.0,1
820,BG,Microaggression,1,3.0,1
820,BG,Violence,1,1.0,1
820,BG,SelfHarm,1,1.0,1
820,BG,Insult,3,3.0,3
820,BG,SexualContent,1,1.0,1
784,BG,Toxicity,1,3.0,3
