index,language,metric,human,QWEN_25_7B,checkpoint-100_QWEN_25_7B,checkpoint-200_QWEN_25_7B,checkpoint-300_QWEN_25_7B,checkpoint-400_QWEN_25_7B,checkpoint-500_QWEN_25_7B,checkpoint-1000_QWEN_25_7B
1013,AR,SelfHarm,1,1.0,,,,,,1
1013,AR,Insult,3,3.0,,,,,,3
1013,AR,SexualContent,1,1.0,,,,,,1
359,AR,Toxicity,2,3.0,,,,,,3
359,AR,IdentityAttack,1,3.0,,,,,,1
359,AR,Bias,1,3.0,,,,,,1
359,AR,Microaggression,3,3.0,,,,,,1
359,AR,Violence,1,1.0,,,,,,1
359,AR,SelfHarm,1,1.0,,,,,,1
359,AR,Insult,3,3.0,,,,,,3
359,AR,SexualContent,1,1.0,,,,,,1
718,AR,Toxicity,1,2.0,,,,,,1
718,AR,IdentityAttack,1,2.0,,,,,,1
718,AR,Bias,1,2.0,,,,,,1
718,AR,Microaggression,1,2.0,,,,,,1
718,AR,Violence,1,3.0,,,,,,1
718,AR,SelfHarm,1,1.0,,,,,,1
718,AR,Insult,1,1.0,,,,,,1
718,AR,SexualContent,1,1.0,,,,,,1
683,AR,Toxicity,1,,,,,,,1
683,AR,IdentityAttack,1,,,,,,,1
683,AR,Bias,1,,,,,,,1
683,AR,Microaggression,1,,,,,,,1
683,AR,Violence,1,,,,,,,1
683,AR,SelfHarm,1,,,,,,,1
683,AR,Insult,1,,,,,,,1
683,AR,SexualContent,1,,,,,,,1
196,AR,Toxicity,2,2.0,,,,1.0,,2
196,AR,IdentityAttack,1,2.0,,,,1.0,,1
196,AR,Bias,1,1.0,,,,1.0,,1
196,AR,Microaggression,1,1.0,,,,1.0,,1
196,AR,Violence,1,1.0,,,,1.0,,1
196,AR,SelfHarm,1,1.0,,,,1.0,,1
196,AR,Insult,3,2.0,,,,1.0,,3
196,AR,SexualContent,1,1.0,,,,1.0,,1
361,AR,Toxicity,2,,,,,,,2
361,AR,IdentityAttack,1,,,,,,,1
361,AR,Bias,1,,,,,,,1
361,AR,Microaggression,2,,,,,,,1
361,AR,Violence,1,,,,,,,1
361,AR,SelfHarm,1,,,,,,,1
361,AR,Insult,3,,,,,,,2
361,AR,SexualContent,1,,,,,,,1
144,AR,Toxicity,2,3.0,,,3.0,3.0,,3
144,AR,IdentityAttack,1,3.0,,,1.0,1.0,,1
144,AR,Bias,1,3.0,,,1.0,1.0,,1
144,AR,Microaggression,1,3.0,,,1.0,1.0,,3
144,AR,Violence,1,1.0,,,1.0,1.0,,1
144,AR,SelfHarm,1,1.0,,,1.0,1.0,,1
144,AR,Insult,3,3.0,,,3.0,3.0,,3
144,AR,SexualContent,1,1.0,,,1.0,1.0,,1
78,AR,Toxicity,3,2.0,,,,,,3
78,AR,IdentityAttack,1,2.0,,,,,,1
78,AR,Bias,2,3.0,,,,,,1
78,AR,Microaggression,1,2.0,,,,,,1
78,AR,Violence,1,1.0,,,,,,1
78,AR,SelfHarm,1,1.0,,,,,,1
78,AR,Insult,3,2.0,,,,,,3
78,AR,SexualContent,1,1.0,,,,,,1
363,AR,Toxicity,2,,,,,,,3
363,AR,IdentityAttack,1,,,,,,,1
363,AR,Bias,1,,,,,,,1
363,AR,Microaggression,1,,,,,,,1
363,AR,Violence,1,,,,,,,1
363,AR,SelfHarm,1,,,,,,,1
363,AR,Insult,3,,,,,,,3
