index,language,metric,human,QWEN_25_7B,checkpoint-100_QWEN_25_7B,checkpoint-200_QWEN_25_7B
246,AR,SexualContent,1,1.0,1.0,1
873,AR,Toxicity,4,,1.0,1
873,AR,IdentityAttack,1,,1.0,1
873,AR,Bias,1,,1.0,1
873,AR,Microaggression,1,,1.0,1
873,AR,Violence,1,,1.0,1
873,AR,SelfHarm,1,,1.0,1
873,AR,Insult,1,,1.0,1
873,AR,SexualContent,1,,1.0,1
8,AR,Toxicity,2,,3.0,3
8,AR,IdentityAttack,1,,1.0,1
8,AR,Bias,2,,1.0,1
8,AR,Microaggression,1,,1.0,1
8,AR,Violence,1,,1.0,1
8,AR,SelfHarm,2,,1.0,1
8,AR,Insult,3,,3.0,3
8,AR,SexualContent,1,,1.0,1
307,AR,Toxicity,2,3.0,2.0,3
307,AR,IdentityAttack,1,2.0,1.0,1
307,AR,Bias,1,2.0,1.0,1
307,AR,Microaggression,2,2.0,1.0,1
307,AR,Violence,1,1.0,1.0,1
307,AR,SelfHarm,1,1.0,1.0,1
307,AR,Insult,3,2.0,2.0,3
307,AR,SexualContent,1,1.0,1.0,1
563,BCMS,Toxicity,5,5.0,3.0,3
563,BCMS,IdentityAttack,2,3.0,3.0,3
563,BCMS,Bias,3,3.0,3.0,3
563,BCMS,Microaggression,1,3.0,1.0,1
563,BCMS,Violence,3,3.0,1.0,1
563,BCMS,SelfHarm,1,1.0,1.0,1
563,BCMS,Insult,2,3.0,3.0,3
563,BCMS,SexualContent,1,1.0,1.0,1
612,BCMS,Toxicity,3,5.0,3.0,3
612,BCMS,IdentityAttack,2,3.0,1.0,1
612,BCMS,Bias,1,3.0,1.0,1
612,BCMS,Microaggression,1,3.0,1.0,1
612,BCMS,Violence,2,3.0,1.0,1
612,BCMS,SelfHarm,1,1.0,1.0,1
612,BCMS,Insult,3,3.0,3.0,3
612,BCMS,SexualContent,1,1.0,1.0,1
726,BCMS,Toxicity,3,3.0,3.0,3
726,BCMS,IdentityAttack,3,3.0,1.0,1
726,BCMS,Bias,2,3.0,1.0,1
726,BCMS,Microaggression,1,3.0,1.0,1
726,BCMS,Violence,3,3.0,1.0,1
726,BCMS,SelfHarm,1,1.0,1.0,1
726,BCMS,Insult,2,3.0,3.0,3
726,BCMS,SexualContent,1,1.0,1.0,1
374,BCMS,Toxicity,4,5.0,5.0,5
374,BCMS,IdentityAttack,1,3.0,3.0,3
374,BCMS,Bias,1,3.0,3.0,3
374,BCMS,Microaggression,1,3.0,1.0,1
374,BCMS,Violence,3,3.0,3.0,3
374,BCMS,SelfHarm,1,3.0,1.0,1
374,BCMS,Insult,3,3.0,3.0,3
374,BCMS,SexualContent,1,1.0,1.0,1
314,BCMS,Toxicity,1,2.0,2.0,3
314,BCMS,IdentityAttack,1,2.0,1.0,1
314,BCMS,Bias,1,2.0,1.0,1
314,BCMS,Microaggression,1,2.0,1.0,1
314,BCMS,Violence,1,1.0,1.0,1
314,BCMS,SelfHarm,1,1.0,1.0,1
314,BCMS,Insult,2,2.0,2.0,3
314,BCMS,SexualContent,1,1.0,1.0,1
589,BCMS,Toxicity,2,2.0,1.0,1
589,BCMS,IdentityAttack,1,2.0,1.0,1
589,BCMS,Bias,1,1.0,1.0,1
589,BCMS,Microaggression,1,1.0,1.0,1
589,BCMS,Violence,1,1.0,1.0,1
589,BCMS,SelfHarm,1,1.0,1.0,1
589,BCMS,Insult,2,1.0,1.0,1
589,BCMS,SexualContent,1,1.0,1.0,1
814,BCMS,Toxicity,2,3.0,1.0,1
814,BCMS,IdentityAttack,2,2.0,1.0,1
814,BCMS,Bias,2,1.0,1.0,1
814,BCMS,Microaggression,1,1.0,1.0,1
814,BCMS,Violence,1,1.0,1.0,1
814,BCMS,SelfHarm,1,1.0,1.0,1
814,BCMS,Insult,2,1.0,1.0,1
814,BCMS,SexualContent,1,1.0,1.0,1
577,BCMS,Toxicity,2,3.0,1.0,1
577,BCMS,IdentityAttack,2,2.0,1.0,1
577,BCMS,Bias,1,2.0,1.0,1
577,BCMS,Microaggression,1,1.0,1.0,1
577,BCMS,Violence,1,1.0,1.0,1
577,BCMS,SelfHarm,1,1.0,1.0,1
577,BCMS,Insult,2,2.0,1.0,1
577,BCMS,SexualContent,1,1.0,1.0,1
797,BCMS,Toxicity,3,5.0,3.0,1
797,BCMS,IdentityAttack,1,3.0,1.0,1
797,BCMS,Bias,2,3.0,1.0,1
797,BCMS,Microaggression,1,3.0,1.0,1
797,BCMS,Violence,1,3.0,1.0,1
797,BCMS,SelfHarm,1,1.0,1.0,1
797,BCMS,Insult,2,3.0,3.0,1
797,BCMS,SexualContent,1,1.0,1.0,1
27,BCMS,Toxicity,3,5.0,5.0,5
27,BCMS,IdentityAttack,3,3.0,1.0,3
27,BCMS,Bias,2,3.0,1.0,3
27,BCMS,Microaggression,1,3.0,1.0,1
27,BCMS,Violence,3,3.0,3.0,3
27,BCMS,SelfHarm,1,3.0,1.0,1
27,BCMS,Insult,3,3.0,3.0,3
27,BCMS,SexualContent,1,1.0,1.0,1
140,BCMS,Toxicity,2,3.0,3.0,3
140,BCMS,IdentityAttack,1,2.0,1.0,1
140,BCMS,Bias,1,2.0,1.0,1
140,BCMS,Microaggression,1,2.0,1.0,1
140,BCMS,Violence,1,1.0,1.0,1
140,BCMS,SelfHarm,1,1.0,1.0,1
140,BCMS,Insult,2,3.0,3.0,3
140,BCMS,SexualContent,1,1.0,1.0,1
474,BCMS,Toxicity,3,5.0,3.0,3
474,BCMS,IdentityAttack,1,3.0,1.0,1
474,BCMS,Bias,2,3.0,1.0,1
474,BCMS,Microaggression,1,3.0,1.0,1
474,BCMS,Violence,3,3.0,1.0,1
474,BCMS,SelfHarm,1,1.0,1.0,1
474,BCMS,Insult,3,3.0,3.0,3
474,BCMS,SexualContent,1,1.0,1.0,1
167,BCMS,Toxicity,2,5.0,3.0,3
167,BCMS,IdentityAttack,1,3.0,1.0,1
167,BCMS,Bias,1,3.0,1.0,1
167,BCMS,Microaggression,1,3.0,1.0,1
167,BCMS,Violence,1,3.0,1.0,1
167,BCMS,SelfHarm,1,1.0,1.0,1
167,BCMS,Insult,2,3.0,3.0,3
167,BCMS,SexualContent,1,1.0,1.0,1
566,BCMS,Toxicity,3,3.0,3.0,3
566,BCMS,IdentityAttack,2,2.0,1.0,1
566,BCMS,Bias,1,2.0,1.0,1
566,BCMS,Microaggression,1,3.0,1.0,1
566,BCMS,Violence,1,1.0,1.0,1
566,BCMS,SelfHarm,1,1.0,1.0,1
566,BCMS,Insult,2,3.0,3.0,3
566,BCMS,SexualContent,1,2.0,1.0,1
723,BCMS,Toxicity,3,5.0,3.0,3
723,BCMS,IdentityAttack,3,3.0,1.0,3
723,BCMS,Bias,2,3.0,1.0,3
723,BCMS,Microaggression,1,3.0,1.0,1
723,BCMS,Violence,1,1.0,1.0,1
723,BCMS,SelfHarm,1,1.0,1.0,1
723,BCMS,Insult,3,3.0,3.0,3
723,BCMS,SexualContent,1,1.0,1.0,1
927,BCMS,Toxicity,1,3.0,2.0,2
927,BCMS,IdentityAttack,1,2.0,1.0,1
927,BCMS,Bias,1,2.0,1.0,1
927,BCMS,Microaggression,1,1.0,1.0,1
927,BCMS,Violence,1,2.0,1.0,1
927,BCMS,SelfHarm,1,1.0,1.0,1
927,BCMS,Insult,1,2.0,2.0,2
927,BCMS,SexualContent,1,1.0,1.0,1
565,BCMS,Toxicity,3,5.0,3.0,4
565,BCMS,IdentityAttack,3,3.0,3.0,3
565,BCMS,Bias,2,3.0,3.0,3
565,BCMS,Microaggression,1,3.0,1.0,1
565,BCMS,Violence,1,3.0,1.0,1
565,BCMS,SelfHarm,1,1.0,1.0,1
565,BCMS,Insult,3,3.0,3.0,3
565,BCMS,SexualContent,1,1.0,1.0,1
151,BCMS,Toxicity,3,3.0,3.0,4
151,BCMS,IdentityAttack,1,3.0,3.0,3
151,BCMS,Bias,1,3.0,3.0,3
151,BCMS,Microaggression,1,3.0,1.0,1
151,BCMS,Violence,1,1.0,1.0,1
151,BCMS,SelfHarm,1,1.0,1.0,1
151,BCMS,Insult,3,3.0,3.0,3
151,BCMS,SexualContent,1,1.0,1.0,1
789,BCMS,Toxicity,1,2.0,1.0,1
789,BCMS,IdentityAttack,1,1.0,1.0,1
789,BCMS,Bias,1,1.0,1.0,1
789,BCMS,Microaggression,1,1.0,1.0,1
789,BCMS,Violence,1,1.0,1.0,1
789,BCMS,SelfHarm,1,1.0,1.0,1
789,BCMS,Insult,2,1.0,1.0,1
789,BCMS,SexualContent,1,1.0,1.0,1
433,BCMS,Toxicity,3,3.0,3.0,3
433,BCMS,IdentityAttack,3,3.0,3.0,3
433,BCMS,Bias,3,3.0,3.0,1
433,BCMS,Microaggression,1,3.0,1.0,1
433,BCMS,Violence,1,1.0,1.0,1
433,BCMS,SelfHarm,1,1.0,1.0,1
433,BCMS,Insult,3,3.0,3.0,3
433,BCMS,SexualContent,1,1.0,1.0,1
416,BCMS,Toxicity,2,3.0,3.0,2
416,BCMS,IdentityAttack,1,3.0,1.0,1
416,BCMS,Bias,1,3.0,1.0,1
416,BCMS,Microaggression,1,3.0,1.0,1
416,BCMS,Violence,1,3.0,1.0,1
416,BCMS,SelfHarm,1,1.0,1.0,1
416,BCMS,Insult,1,3.0,3.0,2
416,BCMS,SexualContent,1,1.0,1.0,1
824,BCMS,Toxicity,5,3.0,3.0,3
824,BCMS,IdentityAttack,2,3.0,1.0,1
824,BCMS,Bias,2,3.0,1.0,1
824,BCMS,Microaggression,1,3.0,1.0,1
824,BCMS,Violence,1,1.0,1.0,1
824,BCMS,SelfHarm,1,1.0,1.0,1
824,BCMS,Insult,3,3.0,3.0,3
824,BCMS,SexualContent,1,1.0,1.0,1
938,BCMS,Toxicity,5,3.0,3.0,3
938,BCMS,IdentityAttack,1,3.0,1.0,1
938,BCMS,Bias,1,3.0,1.0,1
938,BCMS,Microaggression,1,1.0,1.0,1
938,BCMS,Violence,3,3.0,1.0,3
938,BCMS,SelfHarm,1,1.0,1.0,1
938,BCMS,Insult,1,2.0,1.0,1
938,BCMS,SexualContent,1,1.0,1.0,1
614,BCMS,Toxicity,3,3.0,3.0,3
614,BCMS,IdentityAttack,2,2.0,1.0,1
614,BCMS,Bias,2,3.0,1.0,1
614,BCMS,Microaggression,1,3.0,1.0,1
614,BCMS,Violence,1,1.0,1.0,1
614,BCMS,SelfHarm,1,1.0,1.0,1
614,BCMS,Insult,3,3.0,3.0,3
614,BCMS,SexualContent,1,1.0,1.0,1
615,BCMS,Toxicity,5,5.0,3.0,3
615,BCMS,IdentityAttack,2,3.0,1.0,3
615,BCMS,Bias,3,3.0,1.0,3
615,BCMS,Microaggression,1,3.0,1.0,1
615,BCMS,Violence,3,3.0,1.0,3
615,BCMS,SelfHarm,1,1.0,1.0,1
615,BCMS,Insult,2,3.0,3.0,3
615,BCMS,SexualContent,1,1.0,1.0,1
406,BCMS,Toxicity,5,5.0,5.0,5
406,BCMS,IdentityAttack,3,3.0,3.0,3
406,BCMS,Bias,3,3.0,3.0,3
406,BCMS,Microaggression,1,1.0,1.0,1
406,BCMS,Violence,3,3.0,3.0,3
406,BCMS,SelfHarm,1,1.0,1.0,1
406,BCMS,Insult,1,3.0,3.0,3
406,BCMS,SexualContent,1,1.0,1.0,1
395,BCMS,Toxicity,4,5.0,3.0,3
395,BCMS,IdentityAttack,2,3.0,1.0,1
395,BCMS,Bias,1,3.0,1.0,1
395,BCMS,Microaggression,1,3.0,1.0,1
395,BCMS,Violence,3,3.0,3.0,3
395,BCMS,SelfHarm,1,1.0,1.0,1
395,BCMS,Insult,3,3.0,3.0,3
395,BCMS,SexualContent,1,1.0,1.0,1
430,BCMS,Toxicity,2,5.0,3.0,5
430,BCMS,IdentityAttack,1,3.0,1.0,1
430,BCMS,Bias,1,3.0,1.0,1
430,BCMS,Microaggression,1,3.0,1.0,1
430,BCMS,Violence,1,3.0,1.0,1
430,BCMS,SelfHarm,1,1.0,1.0,1
430,BCMS,Insult,2,3.0,1.0,1
430,BCMS,SexualContent,3,3.0,3.0,3
998,BCMS,Toxicity,5,5.0,3.0,3
998,BCMS,IdentityAttack,3,3.0,1.0,1
998,BCMS,Bias,2,3.0,1.0,1
998,BCMS,Microaggression,1,3.0,1.0,1
998,BCMS,Violence,1,3.0,1.0,1
998,BCMS,SelfHarm,1,1.0,1.0,1
998,BCMS,Insult,3,3.0,3.0,3
998,BCMS,SexualContent,1,1.0,1.0,1
538,BCMS,Toxicity,3,3.0,3.0,4
538,BCMS,IdentityAttack,2,3.0,3.0,3
538,BCMS,Bias,2,3.0,3.0,3
538,BCMS,Microaggression,1,3.0,1.0,1
538,BCMS,Violence,1,1.0,1.0,1
538,BCMS,SelfHarm,1,1.0,1.0,1
538,BCMS,Insult,3,3.0,3.0,3
538,BCMS,SexualContent,3,1.0,1.0,1
137,BCMS,Toxicity,3,5.0,3.0,4
137,BCMS,IdentityAttack,2,3.0,3.0,3
137,BCMS,Bias,1,3.0,3.0,3
137,BCMS,Microaggression,1,3.0,1.0,1
137,BCMS,Violence,1,3.0,1.0,1
137,BCMS,SelfHarm,1,1.0,1.0,1
137,BCMS,Insult,3,3.0,3.0,3
137,BCMS,SexualContent,1,1.0,1.0,1
703,BCMS,Toxicity,3,3.0,1.0,2
703,BCMS,IdentityAttack,3,2.0,1.0,1
703,BCMS,Bias,1,2.0,1.0,1
703,BCMS,Microaggression,1,1.0,1.0,1
703,BCMS,Violence,1,1.0,1.0,1
703,BCMS,SelfHarm,1,1.0,1.0,1
703,BCMS,Insult,3,2.0,1.0,2
703,BCMS,SexualContent,1,1.0,1.0,1
965,BCMS,Toxicity,2,3.0,3.0,3
965,BCMS,IdentityAttack,1,2.0,1.0,1
965,BCMS,Bias,2,2.0,1.0,1
965,BCMS,Microaggression,1,2.0,1.0,1
965,BCMS,Violence,1,3.0,1.0,1
965,BCMS,SelfHarm,1,1.0,1.0,1
965,BCMS,Insult,2,3.0,3.0,3
965,BCMS,SexualContent,1,1.0,1.0,1
246,BG,Toxicity,2,5.0,3.0,3
246,BG,IdentityAttack,1,3.0,1.0,1
246,BG,Bias,1,3.0,1.0,1
246,BG,Microaggression,1,3.0,1.0,1
246,BG,Violence,1,3.0,1.0,1
246,BG,SelfHarm,1,1.0,1.0,1
246,BG,Insult,3,3.0,3.0,3
246,BG,SexualContent,2,1.0,1.0,1
779,BG,Toxicity,1,2.0,1.0,1
779,BG,IdentityAttack,1,1.0,1.0,1
779,BG,Bias,1,1.0,1.0,1
779,BG,Microaggression,1,1.0,1.0,1
779,BG,Violence,1,1.0,1.0,1
779,BG,SelfHarm,1,1.0,1.0,1
779,BG,Insult,1,1.0,1.0,1
779,BG,SexualContent,1,1.0,1.0,1
820,BG,Toxicity,4,3.0,3.0,3
820,BG,IdentityAttack,1,3.0,1.0,1
820,BG,Bias,1,3.0,1.0,1
820,BG,Microaggression,1,3.0,1.0,1
820,BG,Violence,1,1.0,1.0,1
820,BG,SelfHarm,1,1.0,1.0,1
820,BG,Insult,3,3.0,3.0,3
820,BG,SexualContent,1,1.0,1.0,1
784,BG,Toxicity,1,3.0,3.0,3
784,BG,IdentityAttack,1,2.0,1.0,1
784,BG,Bias,1,2.0,1.0,1
784,BG,Microaggression,1,3.0,1.0,1
784,BG,Violence,1,2.0,1.0,1
784,BG,SelfHarm,1,1.0,1.0,1
784,BG,Insult,1,2.0,3.0,3
784,BG,SexualContent,1,1.0,1.0,1
421,BG,Toxicity,2,3.0,3.0,3
421,BG,IdentityAttack,1,3.0,1.0,1
421,BG,Bias,1,3.0,1.0,1
421,BG,Microaggression,1,3.0,1.0,1
421,BG,Violence,1,1.0,1.0,1
421,BG,SelfHarm,1,1.0,1.0,1
421,BG,Insult,1,3.0,3.0,3
421,BG,SexualContent,1,1.0,1.0,1
525,BG,Toxicity,3,3.0,3.0,3
525,BG,IdentityAttack,1,3.0,1.0,1
525,BG,Bias,1,3.0,1.0,1
525,BG,Microaggression,1,3.0,1.0,1
525,BG,Violence,1,3.0,1.0,1
525,BG,SelfHarm,1,1.0,1.0,1
525,BG,Insult,3,3.0,3.0,3
525,BG,SexualContent,1,1.0,1.0,1
867,BG,Toxicity,1,2.0,1.0,1
867,BG,IdentityAttack,1,2.0,1.0,1
867,BG,Bias,1,3.0,1.0,1
867,BG,Microaggression,2,3.0,1.0,1
867,BG,Violence,1,1.0,1.0,1
867,BG,SelfHarm,1,1.0,1.0,1
867,BG,Insult,1,1.0,1.0,1
867,BG,SexualContent,1,1.0,1.0,1
754,BG,Toxicity,1,2.0,1.0,2
754,BG,IdentityAttack,1,2.0,1.0,1
754,BG,Bias,1,1.0,1.0,1
754,BG,Microaggression,1,1.0,1.0,1
754,BG,Violence,1,1.0,1.0,1
754,BG,SelfHarm,1,1.0,1.0,1
754,BG,Insult,1,1.0,1.0,2
754,BG,SexualContent,1,1.0,1.0,1
411,BG,Toxicity,5,3.0,3.0,3
411,BG,IdentityAttack,3,3.0,1.0,3
411,BG,Bias,3,3.0,1.0,3
411,BG,Microaggression,1,3.0,1.0,1
411,BG,Violence,1,1.0,1.0,1
411,BG,SelfHarm,1,1.0,1.0,1
411,BG,Insult,3,3.0,3.0,3
411,BG,SexualContent,1,1.0,1.0,1
841,BG,Toxicity,1,3.0,3.0,3
841,BG,IdentityAttack,1,3.0,1.0,3
841,BG,Bias,1,3.0,1.0,1
841,BG,Microaggression,1,3.0,1.0,1
841,BG,Violence,1,1.0,1.0,1
841,BG,SelfHarm,1,1.0,1.0,1
841,BG,Insult,1,3.0,3.0,3
841,BG,SexualContent,1,1.0,1.0,1
200,BG,Toxicity,4,3.0,3.0,3
200,BG,IdentityAttack,3,3.0,1.0,3
200,BG,Bias,3,3.0,1.0,3
200,BG,Microaggression,1,3.0,1.0,1
200,BG,Violence,1,1.0,1.0,1
200,BG,SelfHarm,1,1.0,1.0,1
200,BG,Insult,3,3.0,3.0,3
200,BG,SexualContent,1,1.0,1.0,1
261,BG,Toxicity,4,3.0,3.0,3
261,BG,IdentityAttack,1,3.0,1.0,1
261,BG,Bias,1,3.0,1.0,1
261,BG,Microaggression,1,3.0,1.0,1
261,BG,Violence,1,1.0,1.0,1
261,BG,SelfHarm,1,1.0,1.0,1
261,BG,Insult,3,3.0,3.0,3
261,BG,SexualContent,1,1.0,1.0,1
23,BG,Toxicity,4,5.0,3.0,4
23,BG,IdentityAttack,3,3.0,3.0,3
23,BG,Bias,3,3.0,3.0,3
23,BG,Microaggression,1,3.0,1.0,1
23,BG,Violence,1,1.0,1.0,1
23,BG,SelfHarm,1,1.0,1.0,1
23,BG,Insult,3,3.0,3.0,3
23,BG,SexualContent,1,1.0,1.0,1
124,BG,Toxicity,4,3.0,3.0,3
124,BG,IdentityAttack,3,2.0,1.0,1
124,BG,Bias,3,2.0,1.0,1
124,BG,Microaggression,1,2.0,1.0,1
124,BG,Violence,1,2.0,1.0,1
124,BG,SelfHarm,1,1.0,1.0,1
124,BG,Insult,3,2.0,3.0,3
124,BG,SexualContent,1,1.0,1.0,1
707,BG,Toxicity,1,3.0,1.0,2
707,BG,IdentityAttack,1,3.0,1.0,1
707,BG,Bias,1,2.0,1.0,1
707,BG,Microaggression,2,1.0,1.0,1
707,BG,Violence,1,1.0,1.0,1
707,BG,SelfHarm,1,1.0,1.0,1
707,BG,Insult,1,1.0,1.0,1
707,BG,SexualContent,1,1.0,1.0,1
313,BG,Toxicity,1,3.0,3.0,3
313,BG,IdentityAttack,1,2.0,1.0,1
313,BG,Bias,1,3.0,1.0,1
313,BG,Microaggression,2,2.0,1.0,1
313,BG,Violence,1,1.0,1.0,1
313,BG,SelfHarm,1,1.0,1.0,1
313,BG,Insult,1,2.0,3.0,3
313,BG,SexualContent,1,1.0,1.0,1
502,BG,Toxicity,3,3.0,3.0,3
502,BG,IdentityAttack,1,3.0,1.0,1
502,BG,Bias,1,3.0,1.0,1
502,BG,Microaggression,1,3.0,1.0,1
502,BG,Violence,1,3.0,1.0,1
502,BG,SelfHarm,1,1.0,1.0,1
502,BG,Insult,3,3.0,3.0,3
502,BG,SexualContent,1,1.0,1.0,1
403,BG,Toxicity,5,5.0,5.0,5
403,BG,IdentityAttack,1,3.0,3.0,3
403,BG,Bias,1,3.0,3.0,3
403,BG,Microaggression,1,3.0,1.0,1
403,BG,Violence,3,3.0,3.0,3
403,BG,SelfHarm,1,1.0,1.0,1
403,BG,Insult,3,3.0,3.0,3
403,BG,SexualContent,1,1.0,1.0,1
948,BG,Toxicity,2,3.0,1.0,1
948,BG,IdentityAttack,1,2.0,1.0,1
948,BG,Bias,1,1.0,1.0,1
948,BG,Microaggression,1,1.0,1.0,1
948,BG,Violence,3,2.0,1.0,1
948,BG,SelfHarm,1,1.0,1.0,1
948,BG,Insult,1,1.0,1.0,1
948,BG,SexualContent,1,1.0,1.0,1
855,BG,Toxicity,1,3.0,3.0,3
855,BG,IdentityAttack,1,3.0,1.0,1
855,BG,Bias,1,3.0,1.0,1
855,BG,Microaggression,1,3.0,1.0,1
855,BG,Violence,1,3.0,1.0,1
855,BG,SelfHarm,1,1.0,1.0,1
855,BG,Insult,1,3.0,3.0,3
855,BG,SexualContent,1,1.0,1.0,1
273,BG,Toxicity,2,3.0,3.0,3
273,BG,IdentityAttack,1,3.0,3.0,3
273,BG,Bias,2,3.0,3.0,3
273,BG,Microaggression,1,2.0,1.0,1
273,BG,Violence,1,1.0,1.0,1
273,BG,SelfHarm,1,1.0,1.0,1
273,BG,Insult,3,2.0,3.0,3
273,BG,SexualContent,1,1.0,1.0,1
957,BG,Toxicity,2,3.0,3.0,5
957,BG,IdentityAttack,1,1.0,1.0,3
957,BG,Bias,1,3.0,1.0,3
957,BG,Microaggression,1,3.0,1.0,1
957,BG,Violence,3,3.0,1.0,3
957,BG,SelfHarm,1,1.0,1.0,1
957,BG,Insult,1,3.0,3.0,3
957,BG,SexualContent,1,1.0,1.0,1
484,BG,Toxicity,4,3.0,1.0,3
484,BG,IdentityAttack,3,3.0,1.0,1
484,BG,Bias,3,3.0,1.0,1
484,BG,Microaggression,1,1.0,1.0,1
484,BG,Violence,1,1.0,1.0,1
484,BG,SelfHarm,1,1.0,1.0,1
484,BG,Insult,3,2.0,1.0,3
484,BG,SexualContent,1,1.0,1.0,1
833,BG,Toxicity,1,3.0,3.0,2
833,BG,IdentityAttack,1,3.0,1.0,1
833,BG,Bias,1,3.0,1.0,1
833,BG,Microaggression,1,3.0,1.0,1
833,BG,Violence,1,3.0,1.0,1
833,BG,SelfHarm,1,1.0,1.0,1
833,BG,Insult,1,3.0,3.0,2
833,BG,SexualContent,1,1.0,1.0,1
803,BG,Toxicity,1,3.0,1.0,1
803,BG,IdentityAttack,1,2.0,1.0,1
803,BG,Bias,1,1.0,1.0,1
803,BG,Microaggression,1,1.0,1.0,1
803,BG,Violence,1,1.0,1.0,1
803,BG,SelfHarm,1,1.0,1.0,1
803,BG,Insult,1,1.0,1.0,1
803,BG,SexualContent,1,1.0,1.0,1
533,BG,Toxicity,5,5.0,5.0,5
533,BG,IdentityAttack,3,3.0,3.0,3
533,BG,Bias,3,3.0,3.0,3
533,BG,Microaggression,3,1.0,1.0,1
533,BG,Violence,3,3.0,3.0,3
533,BG,SelfHarm,1,1.0,1.0,1
533,BG,Insult,1,3.0,3.0,3
533,BG,SexualContent,1,1.0,1.0,1
212,BG,Toxicity,4,3.0,3.0,3
212,BG,IdentityAttack,3,3.0,3.0,3
212,BG,Bias,3,3.0,3.0,3
212,BG,Microaggression,1,3.0,1.0,1
212,BG,Violence,1,1.0,1.0,1
212,BG,SelfHarm,1,1.0,1.0,1
212,BG,Insult,2,3.0,3.0,3
212,BG,SexualContent,1,1.0,1.0,1
204,BG,Toxicity,5,3.0,3.0,3
204,BG,IdentityAttack,3,3.0,3.0,3
204,BG,Bias,3,3.0,3.0,3
204,BG,Microaggression,1,3.0,1.0,1
204,BG,Violence,1,1.0,1.0,1
204,BG,SelfHarm,1,1.0,1.0,1
204,BG,Insult,3,3.0,3.0,3
204,BG,SexualContent,1,1.0,1.0,1
640,BG,Toxicity,2,3.0,1.0,1
640,BG,IdentityAttack,1,3.0,1.0,1
640,BG,Bias,1,3.0,1.0,1
640,BG,Microaggression,1,3.0,1.0,1
640,BG,Violence,1,3.0,1.0,1
640,BG,SelfHarm,1,1.0,1.0,1
640,BG,Insult,1,3.0,1.0,1
640,BG,SexualContent,1,1.0,1.0,1
866,BG,Toxicity,1,2.0,1.0,1
866,BG,IdentityAttack,1,2.0,1.0,1
866,BG,Bias,1,3.0,1.0,1
866,BG,Microaggression,2,2.0,1.0,1
866,BG,Violence,1,1.0,1.0,1
866,BG,SelfHarm,1,1.0,1.0,1
866,BG,Insult,1,1.0,1.0,1
866,BG,SexualContent,1,1.0,1.0,1
